id,firstname,lastname,rol
57483482,Salvatore,Williams,"[IMD,FMD,DCP,ANT,DMT,NRO,PSY,CSU,EMD,NRS]"
51732542,Rosalie,Frederick,"[ANT,DMP,IMD,FMD,GSU,ROC,EMD,PSY,MGG]"
40345371,Aspyn,Olson,"[FMD,NRO,ROC,OBG,PSY,ANT]"
22669952,Zev,Jarvis,"[FMD,PSY,ANT,NMD,IMD,DMT,NRP]"
43535166,Indie,Medrano,"[ORS,EMD,PSY,FMD,IMD,DRA,ROC,ANT,MGG,PSU]"
34843958,Ameer,Zuniga,"[ANT,FMD,IMD,NRO,PDT,OBG,PSY,EMD]"
41782257,Koa,Hail,"[PDT,ANT,EMD,FMD,DRA,PSY]"
13273037,Rogelio,Perry,"[DRA,PSU,ANT,NRO,FMD,IMD,PSY]"
40719173,Roman,Petersen,"[PSY,FMD,OBG,ANT,IMD,DRA,MGG,EMD,OPH,PDT]"
12690931,Amoura,Herrera,"[FMD,PSY,IMD,PSU,NMD,ANT,ORS,EMD]"
92794760,Blaine,Leach,"[GSU,FMD,IMD,NRO,OPH,PSY,PDT,CSU]"
40303316,Riley,Morton,"[DRA,PHF,GSU,FMD,IMD,PSY]"
17784344,Elaina,Vega,"[FMD,DRA,ORS,PSY,PMR,IMD,PDT,CSU,URO,OPH]"
26505578,Frankie,Portillo,"[FMD,PSU,PSY,ANT,IMD,OBG,ORS,EMD,NPA]"
52734000,Keith,Norris,"[FMD,IMD,PDT,PMR,PSY,OBG,ANT]"
43927217,Reign,Hancock,"[IMD,FMD,OTO,PSY,ANT,PDT,NRO,OBG]"
79838929,Jordyn,Flores,"[FMD,PSY,IMD,ORS,PMR,PDT]"
68207389,Myles,Stewart,"[DMT,FMD,OPH,IMD,OBG,NRO]"
90385268,Amiyah,Delgado,"[OPH,PSY,FMD,GSU,OBG,PDT,ANT,NRO,IMD,ORS]"
83458017,Kimberly,Harper,"[IMD,EMD,FMD,ORS,DMP,NRO,PSY,PDT,DMT,OBG]"
72678478,Abdullah,Jacobson,"[FMD,ANC,OPH,IMD,ANT,ORS,DMT]"
73556552,Brody,Reyna,"[DMP,IMD,EMD,FMD,OBG,ANT,GSU,VSU,MGG,FME]"
33311025,Murphy,Henson,"[PSY,FMD,OTO,DRA,IMD,ANT,PSU,FMI,PMR]"
63523997,Dion,Lu,"[IMD,ROC,DMT,FMD,EMD,NRS,PDT,GSU,DMP]"
91141627,Wren,Benton,"[FMD,IMD,OBG,EMD,DRA,CSU,PDT,NMD,ANT,PSY]"
41949825,Graham,Conley,"[PSY,FMD,IMD,DRA,PMR,OBG,EMD,DMP]"
47737056,Wes,Wu,"[FMD,IMD,DRA,DMT,PSY,URO,DMP]"
22520183,Ty,Shelton,"[IMD,ROC,FMD,PDT,EMD,PSY,PSU,PMR]"
76379043,Margaret,Roy,"[FMD,ANT,OPH,OBG,PDT,IMD,DRA,PMR,URO]"
84458021,Alex,Barron,"[FMD,PSY,PDT,IMD,DRA,DMT,EMD,GSU,PHF,ANT]"
42544847,Jagger,Cline,"[PMR,FMD,IMD,OTO,PSY,PDT,EMD,ANT,DMP,DRA]"
77846704,Kalel,Pratt,"[ANT,PDT,FMD,OTO,GSU,IMD,PSY]"
