lastname,firstname,residentID,programID,name
Abbott,Addilynn,65109744,FMD,Family Medicine
Abbott,Aitana,87010782,FMD,Family Medicine
Abbott,Alexa,14604909,FMD,Family Medicine
Abbott,Ambrose,35538916,XXX,NOT_MATCHED
Abbott,Amias,87890814,XXX,NOT_MATCHED
Abbott,Amirah,71179631,IMD,Internal Medicine
Abbott,Annika,11886449,IMD,Internal Medicine
Abbott,Charlee,37501081,FMD,Family Medicine
Abbott,Cooper,64841627,XXX,NOT_MATCHED
Abbott,Cora,35313553,XXX,NOT_MATCHED
Abbott,Curtis,49190683,FMD,Family Medicine
Abbott,Davion,98635409,FMD,Family Medicine
Abbott,Derrick,60249742,EMD,Emergency Medicine
Abbott,Drew,42553228,XXX,NOT_MATCHED
Abbott,Gabrielle,92583374,XXX,NOT_MATCHED
Abbott,Gordon,16988796,XXX,NOT_MATCHED
Abbott,Irene,84993711,XXX,NOT_MATCHED
Abbott,Jacoby,42294924,URO,Urology
Abbott,Jacqueline,23588257,XXX,NOT_MATCHED
Abbott,Jamari,49529121,ANT,Anesthesiology
Abbott,Jett,58029109,FMD,Family Medicine
Abbott,Kaison,65999413,FMD,Family Medicine
Abbott,Kason,55954584,PSY,Psychiatry
Abbott,Keilani,69129390,XXX,NOT_MATCHED
Abbott,Kenzo,22624867,FMD,Family Medicine
Abbott,Kylian,95592889,XXX,NOT_MATCHED
Abbott,Leonard,79389625,OPH,Ophthalmology
Abbott,Leroy,82075291,DRA,Diagnostic Radiology
Abbott,Mark,69088665,FMD,Family Medicine
Abbott,Mckinley,11723132,XXX,NOT_MATCHED
Abbott,Milo,71647018,XXX,NOT_MATCHED
Abbott,Nicole,91315379,IMD,Internal Medicine
Abbott,Oaklyn,37622915,XXX,NOT_MATCHED
Abbott,Raiden,91823701,ORS,Orthopedic Surgery
Abbott,Ryker,95514282,FMD,Family Medicine
Abbott,Silas,83173338,IMD,Internal Medicine
Abbott,Skyla,77290344,IMD,Internal Medicine
Abbott,Skylar,10572238,XXX,NOT_MATCHED
Abbott,Tatum,11270221,PHF,Public Health and Preventive Family Medicine
Abbott,Zora,89272918,XXX,NOT_MATCHED
Acevedo,Adler,32735243,IMD,Internal Medicine
Acevedo,Aileen,88395849,FMD,Family Medicine
Acevedo,April,40431712,DRA,Diagnostic Radiology
Acevedo,Archer,53428844,FMD,Family Medicine
Acevedo,Aspen,53687000,IMD,Internal Medicine
Acevedo,August,13912350,XXX,NOT_MATCHED
Acevedo,Averi,94312857,XXX,NOT_MATCHED
Acevedo,Benjamin,92839700,FMD,Family Medicine
Acevedo,Bishop,26674813,IMD,Internal Medicine
Acevedo,Bodhi,76227249,OBG,Obstetrics and Gynecology
Acevedo,Bonnie,68440163,FMD,Family Medicine
Acevedo,Calum,28388789,XXX,NOT_MATCHED
Acevedo,Cash,42382550,DRA,Diagnostic Radiology
Acevedo,Cecilia,32127437,XXX,NOT_MATCHED
Acevedo,Charlie,42909016,XXX,NOT_MATCHED
Acevedo,Charlie,50908068,XXX,NOT_MATCHED
Acevedo,Cooper,57621169,OBG,Obstetrics and Gynecology
Acevedo,Cory,32629797,FMD,Family Medicine
Acevedo,Daxton,39045337,XXX,NOT_MATCHED
Acevedo,Desmond,82605835,IMD,Internal Medicine
Acevedo,Edison,59959949,FMD,Family Medicine
Acevedo,Esmeralda,85083103,IMD,Internal Medicine
Acevedo,Fabian,37766564,FMD,Family Medicine
Acevedo,Fernando,63442510,FMD,Family Medicine
Acevedo,Franklin,56097640,OTO,Otolaryngology - Head and Neck Surgery
Acevedo,Gabriel,73008705,XXX,NOT_MATCHED
Acevedo,Hunter,49962018,XXX,NOT_MATCHED
Acevedo,Israel,15506000,FMD,Family Medicine
Acevedo,Jillian,92205608,XXX,NOT_MATCHED
Acevedo,Journi,94774333,ANT,Anesthesiology
Acevedo,Kora,87297927,PDT,Pediatrics
Acevedo,Kyler,89376358,FMD,Family Medicine
Acevedo,Larry,17233262,FMD,Family Medicine
Acevedo,Maddison,93374082,XXX,NOT_MATCHED
Acevedo,Makenzie,49168668,XXX,NOT_MATCHED
Acevedo,Marceline,61496822,PDT,Pediatrics
Acevedo,Milo,56038411,EMD,Emergency Medicine
Acevedo,Orion,71205302,PSY,Psychiatry
Acevedo,Princess,26690249,DRA,Diagnostic Radiology
Acevedo,Raven,52587509,IMD,Internal Medicine
Acevedo,Reid,79323007,XXX,NOT_MATCHED
Acevedo,Robert,84315393,PSY,Psychiatry
Acevedo,Sawyer,16096270,FMD,Family Medicine
Acevedo,Serena,36938572,FMD,Family Medicine
Acevedo,Tiana,37864799,PDT,Pediatrics
Acevedo,Titan,83525300,FMD,Family Medicine
Acevedo,Veronica,21438022,FMD,Family Medicine
Acevedo,Waylon,32301593,XXX,NOT_MATCHED
Acevedo,Ximena,88811635,IMD,Internal Medicine
Acevedo,Zander,79989252,XXX,NOT_MATCHED
Acosta,Adrian,25848367,XXX,NOT_MATCHED
Acosta,Albert,78988514,FMD,Family Medicine
Acosta,Allison,18014731,FMD,Family Medicine
Acosta,Amira,34654994,FMD,Family Medicine
Acosta,Angie,74090748,FMD,Family Medicine
Acosta,Ari,79198369,NRO,Neurology
Acosta,Ayleen,58531778,FMD,Family Medicine
Acosta,Blaire,69562164,GSU,General Surgery
Acosta,Braelyn,43895672,FMD,Family Medicine
Acosta,Brayden,71578416,FMD,Family Medicine
Acosta,Brendan,94814592,IMD,Internal Medicine
Acosta,Casey,19542220,PDT,Pediatrics
Acosta,Catalina,19235258,XXX,NOT_MATCHED
Acosta,Chaim,17226134,FMD,Family Medicine
Acosta,Chaim,15680417,FMD,Family Medicine
Acosta,Collins,85668085,OPH,Ophthalmology
Acosta,Dalary,29269088,PSU,Plastic Surgery
Acosta,Dario,29848872,FMD,Family Medicine
Acosta,Darwin,62650903,XXX,NOT_MATCHED
Acosta,Donald,16774802,FMD,Family Medicine
Acosta,Elsie,10947290,EMD,Emergency Medicine
Acosta,Emir,69589002,FMD,Family Medicine
Acosta,Erik,61000751,OTO,Otolaryngology - Head and Neck Surgery
Acosta,Finley,67756745,FMD,Family Medicine
Acosta,Gregory,42789965,FMD,Family Medicine
Acosta,Gunner,96299725,IMD,Internal Medicine
Acosta,Isla,67299461,FMD,Family Medicine
Acosta,Julieta,39915457,FMD,Family Medicine
Acosta,Kingston,51908170,IMD,Internal Medicine
Acosta,Kristian,23982335,NRS,Neurosurgery
Acosta,Lawrence,56375516,XXX,NOT_MATCHED
Acosta,Legacy,33142210,ORS,Orthopedic Surgery
