id,firstname,lastname,rol
24386232,Kensley,Carson,"[EMD,FMD,GSU,ROC,IMD,ANT]"
28612141,Lylah,Bender,"[FMD,IMD,FME,DRA,OBG,PDT,NRO,EMD]"
62729243,Leona,Ware,"[NPA,FMD,PSY,GSU,ROC,ANT]"
13884748,Nathalia,Gaines,"[FMD,DMT,PSY,PSU,ANT,GSU,PDT,NRO,MGG]"
60701129,Karter,Rodgers,"[HEP,FMD,ANT,EMD,IMD,ROC,PMR]"
23054091,Damon,Grimes,"[ANT,FMD,IMD,PSY,PHF,OPH,PDT,VSU,CSU]"
41345986,Adan,Barrera,"[FMD,DMT,IMD,OBG,ORS,DRA]"
61863014,Alexandra,Salinas,"[DRA,IMD,FMD,PMR,ANT,PSY,OPH,EMD,VSU]"
99433812,Patrick,David,"[IMD,ANT,DRA,PHF,ROC,FMD,EMD]"
79298178,Foster,Friedman,"[PSY,FMD,OBG,ANT,IMD,DRA]"
63033639,Antonella,Brooks,"[PDT,FMD,ORS,PSY,CSU,OPH,ANT,OTO,IMD,EMD]"
22561037,Zane,Bush,"[IMD,NRP,ROC,DRA,FMD,PSY,NRS,PSU,ANT,PDT]"
10258126,Gwen,Herman,"[FMD,IMD,PSU,OTO,PSY,PDT,DRA,NRO,OBG]"
97422078,Rocky,Knox,"[FMD,EMD,IMD,GSU,ORS,PSU]"
33903064,Bryce,Webster,"[IMD,FMD,ANT,OPH,PSY,OBG,NRO,URO,ANC,PSU]"
21569553,Stetson,Lane,"[OPH,FMD,IMD,ORS,PMR,ANT,DRA,FME]"
68836318,Lawson,Kirk,"[FMD,ANT,NRO,URO,PSY,OBG]"
79494087,Camilla,Boyle,"[IMD,FMD,PDT,PSY,ORS,ROC,DRA]"
41389883,Eliseo,Rollins,"[IMD,NRS,NRO,PDT,PSU,ANT]"
66693348,Kamryn,Benjamin,"[FMD,OTO,PSY,OPH,IMD,NRS,PDT,OBG]"
85981230,Wrenley,Cordova,"[FMD,IMD,OTO,GSU,PSY,OBG,ROC,PDT,EMD]"
38418386,Milani,Hodge,"[EMD,FMD,DRA,PSY,ANC,IMD,PSU,GSU,ORS,PMR]"
64874776,Catherine,Thomas,"[FMD,ANT,PSY,PDT,IMD,OTO]"
97216883,Ariah,Graham,"[FMD,IMD,GSU,ANC,PDT,OPH,EMD,PMR]"
58297709,Della,Manning,"[PDT,ANT,FMD,IMD,DRA,PSY,GSU,NRO,NRP]"
34020033,Celia,Hahn,"[PDT,GSU,EMD,IMD,PSY,FMD]"
24500821,Aspen,Marsh,"[NRS,FMD,IMD,EMD,PSU,GSU,PDT]"
72710791,Shay,Parker,"[FMD,PDT,PSY,GSU,ANT,IMD]"
88942746,Clara,Preston,"[FMD,DRA,IMD,PDT,PSY,ANT,GSU]"
96002240,Wesley,Torres,"[EMD,OPH,IMD,FMD,OTO,PDT,ANT]"
68852307,Amoura,Kaur,"[IMD,FMD,DMT,FME,ORS,DRA,URO]"
73501031,Kassidy,Quintero,"[IMD,FMD,PSY,OBG,NRS,GSU,URO,ORS,OPH]"
51912385,Wesson,Santos,"[FMD,DRA,GSU,IMD,EMD,PSU,PDT,FME]"
18289543,Alia,Maynard,"[FMD,PDT,DRA,URO,GSU,IMD,PSY,MGG,EMD,NRO]"
87898177,Helen,McCann,"[IMD,GSU,DMP,FMD,OBG,DRA]"
33033618,Seth,Sparks,"[PSU,FMD,PDT,PSY,DRA,IMD,DMT,EMD,ROC]"
42882958,Hadley,Johnston,"[PSU,DMP,FMD,EMD,GSU,ANT,NRO,PDT]"
21091557,Lochlan,Macdonald,"[IMD,PSY,ANT,FMD,EMD,PMR,NRO,NRS,PDT]"
13654328,Lucca,Rubio,"[PDT,EMD,GSU,FMD,IMD,PSY,DMT]"
87806489,Wayne,Ayers,"[ROC,IMD,FMD,FME,EMD,PSY,ANT]"
75945112,Briar,Fowler,"[FMD,IMD,OPH,ORS,OTO,ANT,DCP,PDT,DMT]"
43467080,Emmalynn,Ho,"[DRA,FMD,DMP,PSY,IMD,ANT,PHF]"
60941774,Nalani,Snow,"[ANT,IMD,FMD,PSY,ORS,DMP,OBG,EMD,PDT,DRA]"
13395932,Hanna,Patrick,"[DRA,IMD,FMD,NRS,EMD,ANT,URO,PSU,NRO]"
11514564,Alejandro,Mays,"[GSU,ROC,EMD,IMD,FMD,PSU]"
34039294,Beatrice,Guerra,"[DMT,FMD,ORS,PDR,IMD,NRS,GSU,PSY,PSU,EMD]"
96249398,Teagan,Johnston,"[FMD,PDT,IMD,DRA,EMD,OPH]"
18349767,Roger,Pugh,"[PSY,FMD,IMD,GSU,ANT,EMD]"
39062391,Lorenzo,Collins,"[PSY,PDT,FMD,DRA,ANT,GSU,IMD,NRS,DMT,PMR]"
16363457,Aldo,Crane,"[FMD,ANT,OBG,IMD,DRA,PDT,FME]"
86190288,Juan,Barron,"[IMD,FMD,PMR,NRS,PSY,OBG,PDT]"
27905335,Kamdyn,Kirby,"[ORS,FMD,DMT,ANT,IMD,OTO]"
70796013,Luciana,Hawkins,"[FMD,PDT,IMD,PSY,ANT,DRA,PSU,GSU,DMP,OBG]"
22435658,Zeke,Jennings,"[IMD,DMT,NRO,FMD,OBG,ANT,DMP]"
27618721,Jane,Berger,"[PSY,FMD,ANT,DRA,CSU,OTO,IMD,ORS,OBG]"
28047029,Wes,Zamora,"[GSU,DMT,FMD,IMD,FME,PSY,PDT,EMD,DRA]"
21767345,Rachel,Compton,"[IMD,PSY,FMD,ANT,EMD,PDT,DRA,URO]"
36929577,Arya,Moss,"[OBG,IMD,FMD,OPH,PDT,EMD,PMR,ANT,URO,DRA]"
50922474,Grey,Hess,"[FMD,NRO,IMD,PSY,EMD,OBG]"
95976439,Gwen,Kane,"[IMD,OTO,DRA,FMD,PSY,PDT,ANT]"
11996384,Mohammed,Mueller,"[DMT,FMD,NRP,ANT,PDT,PSY,IMD,EMD,DMP]"
58802517,Marlee,Lu,"[DRA,IMD,NRO,FMD,DMT,ANT,ORS]"
33444635,Oaklee,Miller,"[IMD,PSY,FMD,DRA,DMT,FME,NRO,EMD,PDT]"
61409960,Emmy,Carter,"[ANT,IMD,PSY,ROC,PDT,GSU,FMD,OBG]"
75548315,Molly,Gomez,"[ANT,FMD,OPH,IMD,FME,PMR,GSU,PDT,MGG,DMP]"
80452609,Enrique,Robinson,"[FMD,IMD,OTO,ANT,DRA,OPH,PSY,PDT]"
12950860,Luis,Paul,"[FMD,NRO,GSU,IMD,OTO,FME]"
68571924,Adam,Marsh,"[FMD,IMD,PSY,GSU,ORS,DMT,PDT]"
25874420,Jada,Stanton,"[OPH,PSU,FMD,ANT,DRA,ROC,FME,IMD,OTO,URO]"
30479469,Vihaan,Esparza,"[FMD,GSU,ANT,EMD,ROC,IMD,PSY,DRA,PDT]"
56449454,Felicity,Ayala,"[ORS,FMD,DRA,FME,IMD,PMR,PDT,URO,GSU]"
13666891,Eileen,Burns,"[FMD,NRS,PSU,ANT,IMD,EMD]"
67756745,Finley,Acosta,"[FMD,PMR,IMD,NRS,PSY,DMT,ANT]"
30803359,Ezra,Serrano,"[FMD,IMD,PSY,PDT,OPH,DRA,ROC,FME,PHF]"
84482264,Julia,Spears,"[FMD,GSU,ORS,NRO,OBG,IMD,VSU,PDT]"
